claim_id,classification,category,source,line,text
C00064,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,LAYER 2: PROTOCOL SECURITY                     | |  - Ed25519 Signatures                                           | |  -
C00065,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,Signature Verification | ACTIVE | All messages signed with Ed25519 | | Rate Limiting | ACTIVE | Desktop Bridge: 20 req/s per c
C00066,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,ejected if > 120s clock skew | | Signed Receipts | ACTIVE | Ed25519-signed receipts for all skill invocations | | Skill FATE Ga
C00067,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,Status | Description | |---------|--------|-------------| | Ed25519 Signatures | ACTIVE | All messages cryptographically signed
C00068,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,------------------------------------+ | Digital Signature | Ed25519      | RFC 8032    | 256-bit         | | Hashing
C00069,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,| |   | Node Private Key  | <-- Ed25519; 32 bytes                    | |   +-------------------+
C00070,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,| |   | Node Public Key   | <-- Ed25519; 32 bytes; shared            | |   +-------------------+
C00071,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,_message()                                           | |   [Ed25519 Signature] <-- 64 bytes                               | |
C00072,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,e envelope structure | REJECT_SCHEMA | | SIGNATURE | Verify Ed25519 signature | REJECT_SIGNATURE | | TIMESTAMP | Check clock sk
C00073,PROOF_REQUIRED,Cryptography claim,docs/SECURITY-ARCHITECTURE.md,,Prevents stale state injection | | Signature Verification | Ed25519 on all messages | Prevents message forgery | | Dedup Cache
C00074,PROOF_REQUIRED,Hashing claim,docs/SECURITY-ARCHITECTURE.md,,Signatures                                           | |  - BLAKE3 Hashing                                               | |
C00075,PROOF_REQUIRED,Hashing claim,docs/SECURITY-ARCHITECTURE.md,,atures | ACTIVE | All messages cryptographically signed | | BLAKE3 Hashing | ACTIVE | Fast; secure content hashing | | Domain
C00076,PROOF_REQUIRED,Hashing claim,docs/SECURITY-ARCHITECTURE.md,,| RFC 8032    | 256-bit         | | Hashing           | BLAKE3       | Modern      | 256-bit output  | | Canonicalization
C00077,PROOF_REQUIRED,Hashing claim,docs/SECURITY-ARCHITECTURE.md,,in_separated_digest()                                | |   [BLAKE3 Digest]     <-- Prefix: "bizra-pci-v1:"                | |
C00078,PROOF_REQUIRED,Hashing claim,docs/al-mithaq-al-tasisi.md,,ation and recovery | | 3 | **Proof DPS** | Receipt minting; BLAKE3 chain integrity | | 4 | **Impact Support** | Proof-of-Impac
C00079,PROOF_REQUIRED,Hashing claim,docs/al-mithaq-al-tasisi.md,,<[0.0; 1.0]; must be ≥ 0.95 for PERMIT>;   evidence:      <BLAKE3 chain of binding evidence>;   reflex_time:   <microseconds;
C00080,PROOF_REQUIRED,Hashing claim,docs/al-mithaq-al-tasisi.md,,icroseconds; S2-deliberate or S1-reflex>;   hash:          <BLAKE3 of the receipt itself>;   prev_hash:     <BLAKE3 of the pre
C00081,PROOF_REQUIRED,Hashing claim,docs/al-mithaq-al-tasisi.md,,<BLAKE3 of the receipt itself>;   prev_hash:     <BLAKE3 of the previous receipt in this chain>; } ```  The Genesis
C00082,PROOF_REQUIRED,Hashing claim,docs/al-mithaq-al-tasisi.md,,of this document (to be computed at canonicalization):** `<BLAKE3 pending>` **Chains to Genesis:** `350d642099bde68b` **Ratif
C00083,NEEDS_REWRITE,Production-readiness implication,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,-proofspace` | Block validation; RFC 8785 canonicalization; LIVE/DEAD/PENDING verdicts | | `bizra-telescript` | Mobile agent
C00084,NEEDS_REWRITE,Exact SNR number,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,LOC | ~390;000 | Combined Python + Rust | | Quality gates | SNR 0.90; Ihsan 0.96; Coverage 56.65% | CI enforced (`.github/workfl
C00085,NEEDS_REWRITE,Exact SNR number,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,; ethicist; evaluator) All benchmarks: task_completion 1.0; SNR 0.95 Chain ID: bizra-main-alpha ```  Each attestation includes:
C00086,NEEDS_REWRITE,Exact SNR number,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,s** | Cryptographically-enforced; not advisory (Ihsan 0.96; SNR 0.90) | | **Sovereignty** | Local-first by design; federate-when
C00087,PROOF_REQUIRED,Cryptography claim,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,------------|----------| | Proof-Carrying Inference (PCI) | Ed25519 signatures over every inference envelope | `core/pci/envelo
C00088,PROOF_REQUIRED,Cryptography claim,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,-------|---------| | `bizra-core` | Constitution; identity (Ed25519); FATE gates; Islamic finance primitives | | `bizra-federat
C00089,PROOF_REQUIRED,Cryptography claim,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,FT consensus:  - **Transport**: Authenticated channels with Ed25519 key exchange - **Consensus**: 67% quorum (Byzantine fault t
C00090,PROOF_REQUIRED,Cryptography claim,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,ier and version - FATE gate pass/fail results with scores - Ed25519 signature from the originating node - Timestamp and chain p
C00091,PROOF_REQUIRED,Cryptography claim,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,-------| | Spoofing | MITIGATED | Node identity binding via Ed25519 keypairs | | Tampering | MITIGATED | PCI envelope signature
C00092,PROOF_REQUIRED,Hashing claim,docs/BIZRA_TECHNICAL_BRIEF_INVESTORS.md,,compatibility (SEC-001) | CRITICAL | Python SHA-256 vs Rust BLAKE3 in non-PCI paths. 12h remediation planned. Blocks federatio
C00093,NEEDS_REWRITE,Production-readiness implication,docs/MY_COMPLETE_SEASON_FOLDER_MAP.md,,sequentially.; Target: Wire 5 remaining terminal views with live data + demo fallback.; Time: ~2 hours. Zero new architectur
C00094,NEEDS_REWRITE,Production-readiness implication,docs/BIZRA_Pitch_Deck_Script.md,,ipts. SEED settlement for verified work. The moment this is live; BIZRA moves from a sovereign personal OS to a network.  Th
C00095,NEEDS_REWRITE,Explicit cost figure,docs/BIZRA_Pitch_Deck_Script.md,,ion as of March 2026.  Perplexity Computer is cloud-only at $200 per month. No ownership. No local execution. No economic layer.  Clau
C00096,PROOF_REQUIRED,Ihsan-threshold claim,docs/BIZRA_Pitch_Deck_Script.md,,; files; APIs; models | | 4 | Verify | FATE Gate validates: Ihsan ≥ 0.95; ZANN_ZERO; RIBA_ZERO | | 5 | Mint | Verified work produces
C00097,PROOF_REQUIRED,Ihsan-threshold claim,docs/BIZRA_Pitch_Deck_Script.md,,+ SAT-5 (system governance) - FATE Gate judiciary: Z3 SMT + Ihsan ≥ 0.95 + ZANN_ZERO + RIBA_ZERO - 4-tier cognitive cascade:   - L0
C00098,PROOF_REQUIRED,Formal-verification claim,docs/BIZRA_Pitch_Deck_Script.md,,through the FATE Gate — a formal verification layer running Z3 SMT constraint checking. The gate requires an Ihsan score o
C00099,PROOF_REQUIRED,Formal-verification claim,docs/BIZRA_Pitch_Deck_Script.md,,council) + SAT-5 (system governance) - FATE Gate judiciary: Z3 SMT + Ihsan ≥ 0.95 + ZANN_ZERO + RIBA_ZERO - 4-tier cogniti
C00100,PROOF_REQUIRED,Formal-verification claim,docs/BIZRA_Pitch_Deck_Script.md,,udiciary of the parliament. It runs formal verification via Z3 SMT — the same constraint-solving technology used in aerosp
C00101,PROOF_REQUIRED,Formal-verification claim,docs/BIZRA_Pitch_Deck_Script.md,,y work; which demonstrated a 7.55x speedup. The FATE Gate's Z3 SMT integration aligns with FormalJudge (Zhou et al.; Febru
C00102,BRAND_SAFE,Movement line,docs/BIZRA_Pitch_Deck_Script.md,,-  **Mission Statement (closing; full-slide display):**  > "Every human is a node. Every node is a seed. Every seed has infinite potential."
C00103,BRAND_SAFE,Movement line,docs/BIZRA_Pitch_Deck_Script.md,,(closing; full-slide display):**  > "Every human is a node. Every node is a seed. Every seed has infinite potential." > > بذرة واحدة تصنع غا
C00104,NEEDS_REWRITE,Production-readiness implication,docs/bizra-trust-compiler-thesis.md,,e transition was canonicalized?  As of Cycle-5 G3: **yes**; live-verified via curl and via the dema CLI. Receipt `38037484..
C00105,PROOF_REQUIRED,Hashing claim,docs/bizra-trust-compiler-thesis.md,,ain as noise-resistant communication channel; domain-tagged BLAKE3 as error-correcting code against semantic drift. - **البذرة
C00106,PROOF_REQUIRED,Cryptography claim,docs/SAPE_FRAMEWORK_INTEGRATION.md,,per epoch ```  ### Cryptographic Primitives ``` Signature: Ed25519(sk; message) → σ Verification: Verify(pk; message; σ) → {tr
C00107,PROOF_REQUIRED,Cryptography claim,docs/SAPE_FRAMEWORK_INTEGRATION.md,,ATE dimensions implemented - [x] Merkle DAG structure - [x] Ed25519 signatures - [ ] Formal verification (TLA+ specs)  ### Abst
C00108,PROOF_REQUIRED,Cryptography claim,docs/SOVEREIGNTY.md,,ent | Location | Notes | |-----------|----------|-------| | Ed25519 Keypair Generation | `core/pci/crypto.py` | `generate_keypa
C00109,PROOF_REQUIRED,Zero-telemetry claim,docs/SOVEREIGNTY.md,,Gold) | | No External Telemetry | Architecture | Confirmed: no telemetry calls | | Parquet/DuckDB Backend | `vector_engine.py` | Loc
C00110,PROOF_REQUIRED,Zero-telemetry claim,docs/SOVEREIGNTY.md,,"from core.sovereignty import audit; audit.run()"  # Verify no telemetry grep -r "telemetry\|analytics\|tracking" --include="*.py" |
C00111,PROOF_REQUIRED,Hashing claim,docs/SOVEREIGNTY.md,,ification | `core/pci/crypto.py` | `verify_signature()` | | BLAKE3 Domain Separation | `core/pci/crypto.py` | Prefix: `bizra-p
C00112,PROOF_REQUIRED,Cryptography claim,docs/DIGEST_SPEC.md,,ansport-layer crypto (TLS); git object hashing (SHA-1); and Ed25519's internal > SHA-512 are out of scope — those are governed
C00113,PROOF_REQUIRED,Cryptography claim,docs/DIGEST_SPEC.md,,ng; mint court evidence | | **PCI** (identity; signing) | **Ed25519** pre-image via **BLAKE3** | `blake3` + `pynacl` | Message
C00114,PROOF_REQUIRED,Cryptography claim,docs/DIGEST_SPEC.md,,a **BLAKE3** | `blake3` + `pynacl` | Message hashing before Ed25519 signature | | **Rust workspace** (bizra-core) | **BLAKE3**
C00115,PROOF_REQUIRED,Cryptography claim,docs/DIGEST_SPEC.md,,BIZRA-authored receipt chains use BLAKE3 exclusively.  4. **Ed25519 signing** uses BLAKE3 as the pre-image hash (not SHA-512; w
C00116,PROOF_REQUIRED,Cryptography claim,docs/DIGEST_SPEC.md,,** uses BLAKE3 as the pre-image hash (not SHA-512; which is Ed25519's internal hash). This means the signed value is `Ed25519.s
C00117,PROOF_REQUIRED,Cryptography claim,docs/DIGEST_SPEC.md,,s Ed25519's internal hash). This means the signed value is `Ed25519.sign(BLAKE3(message))`.  ## Verification  ```bash # Verify
C00118,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,-|---|---|---| | **Proof Engine** (receipts; canonical) | **BLAKE3** | `blake3` PyPI (1.0.8+) | Receipt digests; canonical has
C00119,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,-| | **Proof Engine** (receipts; canonical) | **BLAKE3** | `blake3` PyPI (1.0.8+) | Receipt digests; canonical hashing; cross-
C00120,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,erop with Rust | | **Autopoietic Cycles** (reverify.py) | **BLAKE3** (primary) / BLAKE2B-256 (fallback) | `blake3` PyPI / `has
C00121,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,rify.py) | **BLAKE3** (primary) / BLAKE2B-256 (fallback) | `blake3` PyPI / `hashlib.blake2b` stdlib | Cycle artifact manifest
C00122,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,| **PCI** (identity; signing) | **Ed25519** pre-image via **BLAKE3** | `blake3` + `pynacl` | Message hashing before Ed25519 si
C00123,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,dentity; signing) | **Ed25519** pre-image via **BLAKE3** | `blake3` + `pynacl` | Message hashing before Ed25519 signature | |
C00124,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,e Ed25519 signature | | **Rust workspace** (bizra-core) | **BLAKE3** | `blake3` crate | Must produce identical hashes to Pytho
C00125,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,gnature | | **Rust workspace** (bizra-core) | **BLAKE3** | `blake3` crate | Must produce identical hashes to Python `blake3` f
C00126,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,| `blake3` crate | Must produce identical hashes to Python `blake3` for cross-language receipts | | **Loop Proof** (manifest)
C00127,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,r cross-language receipts | | **Loop Proof** (manifest) | **BLAKE3** via `canonical.blake3_digest()` | `blake3` PyPI | Loop pr
C00128,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,(manifest) | **BLAKE3** via `canonical.blake3_digest()` | `blake3` PyPI | Loop proof manifest hash |  ## Design Decisions  1.
C00129,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,yPI | Loop proof manifest hash |  ## Design Decisions  1. **BLAKE3 is the primary digest for all new code.** It is faster than
C00130,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,tion.  2. **BLAKE2B-256 is acceptable as a fallback** when `blake3` PyPI is not available (e.g.; minimal Docker images; CI wit
C00131,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,nd third-party libraries. BIZRA-authored receipt chains use BLAKE3 exclusively.  4. **Ed25519 signing** uses BLAKE3 as the pre
C00132,PROOF_REQUIRED,Hashing claim,docs/DIGEST_SPEC.md,,chains use BLAKE3 exclusively.  4. **Ed25519 signing** uses BLAKE3 as the pre-image hash (not SHA-512; which is Ed25519's inte
